iter	Passed	Remaining
605	52685	34254
606	52757	34157
607	52843	34070
608	52922	33977
609	52995	33882
610	53067	33786
611	53142	33691
612	53220	33599
613	53305	33511
614	53401	33430
615	53490	33344
616	53588	33265
617	53674	33177
618	53759	33089
619	53836	32996
620	53921	32908
621	53994	32813
622	54093	32734
623	54187	32651
624	54268	32561
625	54351	32472
626	54427	32378
627	54509	32289
628	54589	32198
629	54671	32108
630	54756	32020
631	54829	31926
632	54913	31837
633	55010	31756
634	55108	31676
635	55212	31599
636	55304	31515
637	55382	31424
638	55473	31339
639	55598	31274
640	55692	31191
641	55768	31098
642	55848	31007
643	55918	30911
644	56017	30831
645	56147	30768
646	56246	30687
647	56327	30597
648	56415	30511
649	56501	30423
650	56578	30331
651	56654	30238
652	56733	30148
653	56811	30056
654	56882	29961
655	56962	29870
656	57039	29778
657	57117	29687
658	57201	29598
659	57284	29509
660	57364	29419
661	57445	29330
662	57519	29236
663	57596	29145
664	57679	29056
665	57758	28966
666	57843	28878
667	57921	28787
668	58000	28696
669	58088	28610
670	58185	28529
671	58269	28441
672	58352	28352
673	58426	28259
674	58510	28171
675	58585	28079
676	58678	27995
677	58775	27914
678	58928	27858
679	59079	27802
680	59217	27739
681	59309	27654
682	59410	27574
683	59493	27485
684	59581	27398
685	59658	27307
686	59746	27220
687	59823	27129
688	59909	27042
689	59986	26950
690	60070	26862
691	60155	26774
692	60243	26687
693	60323	26598
694	60411	26511
695	60483	26418
696	60569	26330
697	60651	26241
698	60731	26152
699	60807	26060
700	60888	25970
701	60973	25883
702	61071	25801
703	61239	25748
704	61330	25663
705	61413	25574
706	61489	25482
707	61558	25388
708	61632	25296
709	61704	25203
710	61778	25111
711	61859	25021
712	61932	24929
713	62016	24841
714	62094	24751
715	62167	24658
716	62252	24571
717	62330	24480
718	62413	24392
719	62495	24303
720	62586	24218
721	62690	24138
722	62766	24047
723	62872	23967
724	62974	23886
725	63076	23805
726	63178	23724
727	63284	23644
728	63364	23555
729	63462	23472
730	63547	23384
731	63657	23306
732	63753	23222
733	63861	23143
734	63955	23058
735	64045	22972
736	64120	22881
737	64209	22795
738	64293	22707
739	64387	22622
740	64472	22534
741	64571	22452
742	64678	22371
743	64763	22284
744	64862	22201
745	64971	22121
746	65070	22038
747	65158	21951
748	65276	21875
749	65382	21794
750	65468	21706
751	65565	21622
752	65661	21538
753	65751	21451
754	65838	21364
755	65945	21283
756	66026	21194
